id,area,sort_order,code,category,competency,sub_competency,category_en,competency_en,sub_competency_en
11,FIN,11,1.4.1,1 Strateji Maliyyə,1.4 Maraqlı Tərəflərlə Kommunikasiya,1.4.1 İcra rəhbərliyi səviyyəsi üçün maliyyə narrativləri hazırlamaq,1 Strategic Finance,1.4 Stakeholder Communication,1.4.1 Craft executive-level financial narratives
12,FIN,12,2.1.1,2 Maliyyə Əməliyyatları,2.1 Xəzinədarlıq və Pul Axını,2.1.1 Gündəlik likvidliyi izləmək,2 Financial Operations,2.1 Treasury & Cash Flow,2.1.1 Monitor daily liquidity
13,FIN,13,2.1.2,2 Maliyyə Əməliyyatları,2.1 Xəzinədarlıq və Pul Axını,2.1.2 Banklarla münasibətləri idarə etmək,2 Financial Operations,2.1 Treasury & Cash Flow,2.1.2 Manage bank relationships
14,FIN,14,2.1.3,2 Maliyyə Əməliyyatları,2.1 Xəzinədarlıq və Pul Axını,2.1.3 Pul axını proqnozlaşdırma sistemləri qurmaq,2 Financial Operations,2.1 Treasury & Cash Flow,2.1.3 Build cash forecasting systems
15,FIN,15,2.2.1,2 Maliyyə Əməliyyatları,2.2 Daxili Nəzarət və Audit,2.2.1 GAAP/IFRS standartlarını tətbiq etmək,2 Financial Operations,2.2 Internal Controls & Audit,2.2.1 Apply GAAP/IFRS standards
16,FIN,16,2.2.2,2 Maliyyə Əməliyyatları,2.2 Daxili Nəzarət və Audit,2.2.2 Nəzarət çərçivələrini tətbiq etmək,2 Financial Operations,2.2 Internal Controls & Audit,2.2.2 Implement control frameworks
17,FIN,17,2.2.3,2 Maliyyə Əməliyyatları,2.2 Daxili Nəzarət və Audit,2.2.3 Xarici auditləri koordinasiya etmək,2 Financial Operations,2.2 Internal Controls & Audit,2.2.3 Coordinate external audits
18,FIN,18,2.3.1,2 Maliyyə Əməliyyatları,2.3 Dövriyyə Kapitalının İdarə Edilməsi,2.3.1 Pul vəsaitinin çevrilmə dövrünü optimallaşdırmaq,2 Financial Operations,2.3 Working Capital Management,2.3.1 Optimize cash conversion cycles
19,FIN,19,2.3.2,2 Maliyyə Əməliyyatları,2.3 Dövriyyə Kapitalının İdarə Edilməsi,2.3.2 Debitor və kreditor borcların idarəetmə səmərəliliyini artırmaq,2 Financial Operations,2.3 Working Capital Management,2.3.2 Improve receivables/payables efficiency
20,FIN,20,3.1.1,3 Proqnozlaşdırma və Planlama,3.1 Maliyyə Modelləşdirməsi,3.1.1 Proqnozlaşdırma modelləri qurmaq,3 Forecasting & Planning,3.1 Financial Modeling,3.1.1 Build forecasting models
21,FIN,21,3.1.2,3 Proqnozlaşdırma və Planlama,3.1 Maliyyə Modelləşdirməsi,3.1.2 Regressiya və zaman sırası alətlərindən istifadə etmək,3 Forecasting & Planning,3.1 Financial Modeling,3.1.2 Use regression/time-series tools
22,FIN,22,3.1.3,3 Proqnozlaşdırma və Planlama,3.1 Maliyyə Modelləşdirməsi,3.1.3 Rolling forecast-lar hazırlamaq,3 Forecasting & Planning,3.1 Financial Modeling,3.1.3 Create rolling forecasts
23,FIN,23,3.2.1,3 Proqnozlaşdırma və Planlama,3.2 İnvestisiya Təhlili,"3.2.1 ROI, IRR və NPV təhlilləri aparmaq",3 Forecasting & Planning,3.2 Investment Analysis,"3.2.1 Conduct ROI, IRR, NPV analysis"
24,FIN,24,3.2.2,3 Proqnozlaşdırma və Planlama,3.2 İnvestisiya Təhlili,3.2.2 Öz istehsalı ilə satınalma arasında seçim qərarlarını qiymətləndirmək,3 Forecasting & Planning,3.2 Investment Analysis,3.2.2 Evaluate make vs. buy decisions
25,FIN,25,3.3.1,3 Proqnozlaşdırma və Planlama,3.3 KPI və Performansın İdarə Edilməsi,3.3.1 Strateji KPI-ları formalaşdırmaq və izləmək,3 Forecasting & Planning,3.3 KPI Performance Management,3.3.1 Design and track strategic KPIs
26,FIN,26,4.1.1,4 Kapitalın İdarə Edilməsi,4.1 Kapital Büdcələməsi,4.1.1 CAPEX investisiyalarını prioritetləşdirmək,4 Capital Management,4.1 Capital Budgeting,4.1.1 Prioritize capex investment
27,FIN,27,4.1.2,4 Kapitalın İdarə Edilməsi,4.1 Kapital Büdcələməsi,4.1.2 Texniki-iqtisadi əsaslandırma təhlilləri aparmaq,4 Capital Management,4.1 Capital Budgeting,4.1.2 Conduct feasibility studies
28,FIN,28,4.2.1,4 Kapitalın İdarə Edilməsi,4.2 Kapitalın Cəlb Edilməsi və Kapital Strategiyası,4.2.1 İnvestor sənədlərini hazırlamaq,4 Capital Management,4.2 Fundraising & Capital Strategy,4.2.1 Prepare investor documentation
29,FIN,29,4.2.2,4 Kapitalın İdarə Edilməsi,4.2 Kapitalın Cəlb Edilməsi və Kapital Strategiyası,4.2.2 Kapital ehtiyaclarını aydın şəkildə təqdim etmək,4 Capital Management,4.2 Fundraising & Capital Strategy,4.2.2 Communicate capital needs
30,FIN,30,4.3.1,4 Kapitalın İdarə Edilməsi,4.3 Kapital Strukturu,4.3.1 Kapital dəyəri ssenarilərini modelləşdirmək,4 Capital Management,4.3 Capital Structure,4.3.1 Model cost of capital scenarios
31,FIN,31,4.3.2,4 Kapitalın İdarə Edilməsi,4.3 Kapital Strukturu,4.3.2 Borc/kapital strukturunu optimallaşdırmaq,4 Capital Management,4.3 Capital Structure,4.3.2 Optimize debt/equity structure
32,FIN,32,5.1.1,5 İdarəetmə və Uyğunluq,5.1 Tənzimləyici Hesabatlılıq,5.1.1 Maliyyə üzrə hüquqi uyğunluğu təmin etmək,5 Governance & Compliance,5.1 Regulatory Reporting,5.1.1 Ensure legal financial compliance
33,FIN,33,5.1.2,5 İdarəetmə və Uyğunluq,5.1 Tənzimləyici Hesabatlılıq,5.1.2 Donorlar və dövlət qurumları üçün hesabatlar hazırlamaq,5 Governance & Compliance,5.1 Regulatory Reporting,5.1.2 Prepare donor/government reports
34,FIN,34,5.2.1,5 İdarəetmə və Uyğunluq,5.2 Etika və Şəffaflıq,5.2.1 Maliyyə şəffaflığını təşviq etmək,5 Governance & Compliance,5.2 Ethics & Transparency,5.2.1 Promote financial transparency
35,FIN,35,5.2.2,5 İdarəetmə və Uyğunluq,5.2 Etika və Şəffaflıq,5.2.2 Komandalara maliyyə etikası üzrə təlim keçmək,5 Governance & Compliance,5.2 Ethics & Transparency,5.2.2 Train teams on financial ethics
36,FIN,36,6.1.1,6 Texnologiya və Sistemlər,6.1 ERP və Avtomatlaşdırma,6.1.1 ERP sistemlərini tətbiq etmək və idarə etmək,6 Technology & Systems,6.1 ERP & Automation,6.1.1 Implement and manage ERP systems
37,FIN,37,6.1.2,6 Texnologiya və Sistemlər,6.1 ERP və Avtomatlaşdırma,6.1.2 Maliyyə iş axınlarını avtomatlaşdırmaq,6 Technology & Systems,6.1 ERP & Automation,6.1.2 Automate financial workflows
38,FIN,38,6.2.1,6 Texnologiya və Sistemlər,6.2 Məlumatların Vizualizasiyası və BI,6.2.1 Power BI/Tableau dashboard-ları hazırlamaq,6 Technology & Systems,6.2 Data Visualization & BI,6.2.1 Design Power BI/Tableau dashboards
39,FIN,39,6.2.2,6 Texnologiya və Sistemlər,6.2 Məlumatların Vizualizasiyası və BI,6.2.2 Data warehouse-i maliyyə ehtiyacları ilə uyğunlaşdırmaq,6 Technology & Systems,6.2 Data Visualization & BI,6.2.2 Align data warehouse with finance needs
40,FIN,40,6.3.1,6 Texnologiya və Sistemlər,6.3 Kibertəhlükəsizlik,6.3.1 Maliyyə sistemlərini və məlumatlarını qorumaq,6 Technology & Systems,6.3 Cybersecurity,6.3.1 Protect financial systems and data
41,FIN,41,7.1.1,7 Mühasibatlıq və Hesabatlılıq,7.1 Ümumi Mühasibatlıq,7.1.1 Mühasibat yazılışlarını dəqiq aparmaq,7 Accounting & Reporting,7.1 General Accounting,7.1.1 Process journal entries accurately
42,FIN,42,7.1.2,7 Mühasibatlıq və Hesabatlılıq,7.1 Ümumi Mühasibatlıq,7.1.2 Hesabları və baş kitabı uzlaşdırmaq,7 Accounting & Reporting,7.1 General Accounting,7.1.2 Reconcile accounts and ledgers
43,FIN,43,7.2.1,7 Mühasibatlıq və Hesabatlılıq,7.2 Maliyyə Bağlanışı,7.2.1 Ay sonu və il sonu bağlanış proseslərini idarə etmək,7 Accounting & Reporting,7.2 Financial Closing,7.2.1 Manage month-end and year-end close
44,FIN,44,7.3.1,7 Mühasibatlıq və Hesabatlılıq,7.3 Maliyyə Hesabatlarının Hazırlanması,"7.3.1 Balans hesabatını, Mənfəət və Zərər hesabatını və Pul Axını hesabatını hazırlamaq",7 Accounting & Reporting,7.3 Financial Statement Preparation,"7.3.1 Prepare balance sheet, P&L, and cash flow"
45,FIN,45,7.4.1,7 Mühasibatlıq və Hesabatlılıq,7.4 Qanunvericilik üzrə Hesabatlılıq,7.4.1 Vergitutma və qanunvericilik üzrə təqdimatları idarə etmək,7 Accounting & Reporting,7.4 Statutory Reporting,7.4.1 Manage taxation and legal filings
46,FIN,46,7.5.1,7 Mühasibatlıq və Hesabatlılıq,7.5 Qrant və Donorların İdarə Edilməsi,7.5.1 Məhdud təyinatlı vəsaitləri izləmək və hesabatlandırmaq,7 Accounting & Reporting,7.5 Grant & Donor Management,7.5.1 Track and report restricted funds
47,FIN,47,8.1.1,8 Liderlik və Əməkdaşlıq,8.1 Kommunikasiya,8.1.1 Maliyyə məlumatlarını maliyyə sahəsindən olmayan auditoriyaya izah etmək,8 Leadership & Collaboration,8.1 Communication,8.1.1 Explain financials to non-finance audiences
48,FIN,48,8.1.2,8 Liderlik və Əməkdaşlıq,8.1 Kommunikasiya,8.1.2 Maliyyə insaytları ilə maraqlı tərəflərə təsir göstərmək,8 Leadership & Collaboration,8.1 Communication,8.1.2 Influence stakeholders with financial insights
49,FIN,49,8.2.1,8 Liderlik və Əməkdaşlıq,8.2 Komandanın İnkişafı,8.2.1 Maliyyə əməkdaşlarına mentorluq və kouçinq vermək,8 Leadership & Collaboration,8.2 Team Development,8.2.1 Mentor and coach finance staff
50,FIN,50,8.2.2,8 Liderlik və Əməkdaşlıq,8.2 Komandanın İnkişafı,8.2.2 Maliyyə komandasında öyrənmə mədəniyyəti yaratmaq,8 Leadership & Collaboration,8.2 Team Development,8.2.2 Build learning culture in finance team
51,FIN,51,8.3.1,8 Liderlik və Əməkdaşlıq,8.3 Funksiyalararası Əməkdaşlıq,8.3.1 Maliyyə funksiyasını biznes əməliyyatları ilə uyğunlaşdırmaq,8 Leadership & Collaboration,8.3 Cross-functional Collaboration,8.3.1 Align finance with business operations
52,FIN,52,9.1.1,9 Peşəkar Keyfiyyətlər,9.1 Analitik Düşüncə,9.1.1 Mürəkkəb maliyyə məlumatlarını şərh etmək və trendləri müəyyən etmək,9 Professional Attributes,9.1 Analytical Thinking,9.1.1 Interpret complex financial data and detect trends
53,FIN,53,9.2.1,9 Peşəkar Keyfiyyətlər,9.2 Maliyyə Mühakiməsi,"9.2.1 Qərarlarda riskləri, gəlirliliyi və etik təsiri balanslı şəkildə qiymətləndirmək",9 Professional Attributes,9.2 Financial Judgment,"9.2.1 Weigh risks, returns, and ethical impact in decisions"
54,FIN,54,9.3.1,9 Peşəkar Keyfiyyətlər,9.3 Detallara Diqqət,9.3.1 Hesabatlılıqda və uzlaşdırmalarda dəqiqliyi qorumaq,9 Professional Attributes,9.3 Attention to Detail,9.3.1 Maintain accuracy in reporting and reconciliations
55,FIN,55,9.4.1,9 Peşəkar Keyfiyyətlər,9.4 Strateji Çeviklik,9.4.1 Maliyyə fəaliyyətlərini uzunmüddətli məqsədlərlə uyğunlaşdırmaq,9 Professional Attributes,9.4 Strategic Agility,9.4.1 Align financial activities with long-term goals
56,FIN,56,9.5.1,9 Peşəkar Keyfiyyətlər,9.5 Etik Dürüstlük,9.5.1 Təzyiq altında etik davranışı və uyğunluğu qorumaq,9 Professional Attributes,9.5 Ethical Integrity,9.5.1 Uphold ethics and compliance under pressure
57,FIN,57,9.6.1,9 Peşəkar Keyfiyyətlər,9.6 Kommunikasiya Aydınlığı,9.6.1 Maliyyə mövzularını fərqli auditoriyalara aydın izah etmək,9 Professional Attributes,9.6 Communication Clarity,9.6.1 Explain finance clearly to diverse audiences
58,FIN,58,9.7.1,9 Peşəkar Keyfiyyətlər,9.7 Funksiyalararası Təsir Etmə,9.7.1 Şöbələr arasında effektiv əməkdaşlıq etmək,9 Professional Attributes,9.7 Cross-functional Influence,9.7.1 Collaborate across departments effectively
59,FIN,59,9.8.1,9 Peşəkar Keyfiyyətlər,9.8 Liderlik və Komanda ilə İş,9.8.1 Maliyyə komandası üzvlərini yönləndirmək və inkişaf etdirmək,9 Professional Attributes,9.8 Leadership & Teaming,9.8.1 Guide and develop finance team members
60,FIN,60,9.9.1,9 Peşəkar Keyfiyyətlər,9.9 Vaxtın İdarə Edilməsi və Prioritetləşdirmə,9.9.1 İş yükünü səmərəli idarə etmək və son tarixlərə əməl etmək,9 Professional Attributes,9.9 Time & Prioritization,9.9.1 Manage workload efficiently and meet deadlines
61,FIN,61,9.10.1,9 Peşəkar Keyfiyyətlər,9.10 Dəyişiklik Çevikliyi,9.10.1 Maliyyə sistemlərində və ya tənzimləmələrdə dəyişikliklərə uyğunlaşmaq,9 Professional Attributes,9.10 Change Agility,9.10.1 Adapt to financial system or regulation changes
62,FIN,62,9.11.1,9 Peşəkar Keyfiyyətlər,9.11 Risk Şüuru,9.11.1 Maliyyə və əməliyyat risklərini müəyyən etmək və eskalasiya etmək,9 Professional Attributes,9.11 Risk Awareness,9.11.1 Identify and escalate financial and operational risks
63,FIN,63,9.12.1,9 Peşəkar Keyfiyyətlər,9.12 Məxfilik,9.12.1 Həssas maliyyə məlumatlarını təhlükəsiz şəkildə idarə etmək,9 Professional Attributes,9.12 Confidentiality,9.12.1 Handle sensitive financial info securely
64,FIN,64,9.13.1,9 Peşəkar Keyfiyyətlər,9.13 Maraqlı Tərəflərin İdarə Edilməsi,"9.13.1 Auditorlar, donorlar və rəhbər şəxslərlə etimad qurmaq",9 Professional Attributes,9.13 Stakeholder Management,"9.13.1 Build trust with auditors, donors, and executives"
65,FIN,65,9.14.1,9 Peşəkar Keyfiyyətlər,9.14 Təzyiq Altında Dayanıqlılıq,9.14.1 Yüksək təzyiq şəraitində dəqiqliyi və fokusunu qorumaq,9 Professional Attributes,9.14 Resilience Under Pressure,9.14.1 Stay accurate and focused in high-pressure situations
66,FIN,66,9.15.1,9 Peşəkar Keyfiyyətlər,9.15 Məlumat əsaslı düşüncə tərzi,9.15.1 Qərarları dəqiq və uyğun məlumatlar əsasında vermək,9 Professional Attributes,9.15 Data-Driven Mindset,9.15.1 Base decisions on accurate and relevant data
67,FIN,67,9.16.1,9 Peşəkar Keyfiyyətlər,9.16 Təşəbbüskarlıq və Sahiblik,9.16.1 Maliyyə ilə bağlı problemlərin həllində təşəbbüs göstərmək,9 Professional Attributes,9.16 Initiative & Ownership,9.16.1 Take charge in solving finance-related problems
68,FIN,68,9.17.1,9 Peşəkar Keyfiyyətlər,9.17 Problemlərin Həlli,9.17.1 Kök səbəbləri müəyyən etmək və dayanıqlı həllər təklif etmək,9 Professional Attributes,9.17 Problem Solving,9.17.1 Identify root causes and propose sustainable fixes
69,FIN,69,9.18.1,9 Peşəkar Keyfiyyətlər,9.18 Maliyyə Hekayələndirməsi,9.18.1 Mürəkkəb maliyyə məlumatlarını aydın narrativlərə çevirmək,9 Professional Attributes,9.18 Financial Storytelling,9.18.1 Create narratives from complex financials
70,FIN,70,9.19.1,9 Peşəkar Keyfiyyətlər,9.19 Danışıqlar və Təsir Etmə,9.19.1 Əlverişli nəticələr əldə etmək üçün müzakirələrə rəhbərlik etmək,9 Professional Attributes,9.19 Negotiation & Influence,9.19.1 Lead discussions to secure favorable outcomes
71,FIN,71,9.20.1,9 Peşəkar Keyfiyyətlər,9.20 Öyrənməyə Yönümlülük,"9.20.1 Trendlər, alətlər və standartlar üzrə aktual qalmaq",9 Professional Attributes,9.20 Learning Orientation,"9.20.1 Stay current on trends, tools, and standards"
72,FIN,72,9.21.1,9 Peşəkar Keyfiyyətlər,9.21 Maraqlı Tərəflərə Empatiya,9.21.1 Tərəfdaşların ehtiyaclarını anlamaq və maliyyə kommunikasiyasını buna uyğunlaşdırmaq,9 Professional Attributes,9.21 Stakeholder Empathy,9.21.1 Understand partner needs and tailor finance communication
73,FIN,73,9.22.1,9 Peşəkar Keyfiyyətlər,9.22 Nəticəyönümlülük,9.22.1 Ölçülə bilən nəticələr və dəyər yaratmaq,9 Professional Attributes,9.22 Results Orientation,9.22.1 Deliver measurable outcomes and value creation
74,ERP,1,1.1.1,1 İT və Rəqəmsal – FMCG (Funksional),1.1 İT Strategiyası və Müəssisə Memarlığı,"1.1.1 FMCG üzrə böyümə, miqyas və marja hədəflərinə uyğun İT strategiyasını müəyyən etmək",1 IT & Digital – FMCG (Functional),1.1 IT Strategy & Enterprise Architecture,"1.1.1 Define IT strategy aligned with FMCG growth, scale, and margin objectives"
75,ERP,2,1.1.2,1 İT və Rəqəmsal – FMCG (Funksional),1.1 İT Strategiyası və Müəssisə Memarlığı,"1.1.2 ERP, CRM, SCM və analitikanı inteqrasiya edən müəssisə memarlığını dizayn etmək",1 IT & Digital – FMCG (Functional),1.1 IT Strategy & Enterprise Architecture,"1.1.2 Design enterprise architecture integrating ERP, CRM, SCM, and analytics"
76,ERP,3,1.1.3,1 İT və Rəqəmsal – FMCG (Funksional),1.1 İT Strategiyası və Müəssisə Memarlığı,"1.1.3 Texnologiya yol xəritələrini, standartları və inteqrasiya prinsiplərini müəyyən etmək",1 IT & Digital – FMCG (Functional),1.1 IT Strategy & Enterprise Architecture,"1.1.3 Define technology roadmaps, standards, and integration principles"
77,ERP,4,1.1.4,1 İT və Rəqəmsal – FMCG (Funksional),1.1 İT Strategiyası və Müəssisə Memarlığı,"1.1.4 İnnovasiya, texniki borc və əməliyyat sabitliyi arasında balans yaratmaq",1 IT & Digital – FMCG (Functional),1.1 IT Strategy & Enterprise Architecture,"1.1.4 Balance innovation, technical debt, and operational stability"
78,ERP,5,1.1.5,1 İT və Rəqəmsal – FMCG (Funksional),1.1 İT Strategiyası və Müəssisə Memarlığı,1.1.5 İT investisiya portfelini və prioritetləşdirməni idarə etmək,1 IT & Digital – FMCG (Functional),1.1 IT Strategy & Enterprise Architecture,1.1.5 Govern IT investment portfolio and prioritization
79,ERP,6,1.2.1,1 İT və Rəqəmsal – FMCG (Funksional),1.2 ERP Strategiyası və Əsas Proses Dizaynı,"1.2.1 Maliyyə, satış, təchizat zənciri və istehsalı əhatə edən ERP vizyonunu müəyyən etmək",1 IT & Digital – FMCG (Functional),1.2 ERP Strategy & Core Process Design,"1.2.1 Define ERP vision covering finance, sales, supply chain, and manufacturing"
80,ERP,7,1.2.2,1 İT və Rəqəmsal – FMCG (Funksional),1.2 ERP Strategiyası və Əsas Proses Dizaynı,"1.2.2 Ucdan-uca proses axınlarını dizayn etmək (O2C, P2P, S2P, R2R, MTS/MTO)",1 IT & Digital – FMCG (Functional),1.2 ERP Strategy & Core Process Design,"1.2.2 Design end-to-end process flows (O2C, P2P, S2P, R2R, MTS/MTO)"
81,ERP,8,1.2.3,1 İT və Rəqəmsal – FMCG (Funksional),1.2 ERP Strategiyası və Əsas Proses Dizaynı,1.2.3 Master data və tranzaksiya modellərini standartlaşdırmaq,1 IT & Digital – FMCG (Functional),1.2 ERP Strategy & Core Process Design,1.2.3 Standardize master data and transaction models
82,ERP,9,1.2.4,1 İT və Rəqəmsal – FMCG (Funksional),1.2 ERP Strategiyası və Əsas Proses Dizaynı,1.2.4 Lokallaşdırma və qlobal şablon üzrə qərar prinsiplərini müəyyən etmək,1 IT & Digital – FMCG (Functional),1.2 ERP Strategy & Core Process Design,1.2.4 Define localization vs global template decisions
83,ERP,10,1.2.5,1 İT və Rəqəmsal – FMCG (Funksional),1.2 ERP Strategiyası və Əsas Proses Dizaynı,"1.2.5 ERP-nin miqyaslana bilənliyi, uyğunluğu və audit oluna bilməsini təmin etmək",1 IT & Digital – FMCG (Functional),1.2 ERP Strategy & Core Process Design,"1.2.5 Ensure ERP supports scalability, compliance, and auditability"
84,ERP,11,1.3.1,1 İT və Rəqəmsal – FMCG (Funksional),1.3 ERP Tətbiqi və Transformasiya,1.3.1 ERP tətbiqi və ya rollout proqramlarını ucdan-uca idarə etmək,1 IT & Digital – FMCG (Functional),1.3 ERP Implementation & Transformation,1.3.1 Lead ERP implementation or rollout programs end-to-end
85,ERP,12,1.3.2,1 İT və Rəqəmsal – FMCG (Funksional),1.3 ERP Tətbiqi və Transformasiya,"1.3.2 Sistem inteqratorlarını, təchizatçıları və icra tərəfdaşlarını idarə etmək",1 IT & Digital – FMCG (Functional),1.3 ERP Implementation & Transformation,"1.3.2 Manage system integrators, vendors, and delivery partners"
86,ERP,13,1.3.3,1 İT və Rəqəmsal – FMCG (Funksional),1.3 ERP Tətbiqi və Transformasiya,"1.3.3 Skopa, vaxt qrafikinə, büdcəyə və keyfiyyətə nəzarət etmək",1 IT & Digital – FMCG (Functional),1.3 ERP Implementation & Transformation,"1.3.3 Control scope, timelines, budget, and quality"
87,ERP,14,1.3.4,1 İT və Rəqəmsal – FMCG (Funksional),1.3 ERP Tətbiqi və Transformasiya,"1.3.4 Biznes hazırlığını, cutover prosesini və hypercare mərhələsini idarə etmək",1 IT & Digital – FMCG (Functional),1.3 ERP Implementation & Transformation,"1.3.4 Drive business readiness, cutover, and hypercare"
88,ERP,15,1.3.5,1 İT və Rəqəmsal – FMCG (Funksional),1.3 ERP Tətbiqi və Transformasiya,1.3.5 Əldə olunan faydaların reallaşmasını və tətbiqdən sonrakı optimallaşdırmanı təmin etmək,1 IT & Digital – FMCG (Functional),1.3 ERP Implementation & Transformation,1.3.5 Capture benefits realization and post-implementation optimization
89,ERP,16,1.4.1,1 İT və Rəqəmsal – FMCG (Funksional),1.4 ERP üzrə Funksional Mükəmməllik,"1.4.1 Maliyyə (FI/CO), Satış (SD), MM, WM, PP modullarını dəstəkləmək",1 IT & Digital – FMCG (Functional),1.4 ERP Functional Excellence,"1.4.1 Support Finance (FI/CO), Sales (SD), MM, WM, PP modules"
90,ERP,17,1.4.2,1 İT və Rəqəmsal – FMCG (Funksional),1.4 ERP üzrə Funksional Mükəmməllik,1.4.2 Biznes tələblərini sistem konfiqurasiyalarına çevirmək,1 IT & Digital – FMCG (Functional),1.4 ERP Functional Excellence,1.4.2 Translate business requirements into system configurations
91,ERP,18,1.4.3,1 İT və Rəqəmsal – FMCG (Funksional),1.4 ERP üzrə Funksional Mükəmməllik,1.4.3 Dəyişiklik sorğularını və release dövrlərini idarə etmək,1 IT & Digital – FMCG (Functional),1.4 ERP Functional Excellence,1.4.3 Manage change requests and release cycles
92,ERP,19,1.4.4,1 İT və Rəqəmsal – FMCG (Funksional),1.4 ERP üzrə Funksional Mükəmməllik,1.4.4 Mürəkkəb modullararası problemləri həll etmək,1 IT & Digital – FMCG (Functional),1.4 ERP Functional Excellence,1.4.4 Resolve complex cross-module issues
93,ERP,20,1.4.5,1 İT və Rəqəmsal – FMCG (Funksional),1.4 ERP üzrə Funksional Mükəmməllik,1.4.5 ERP istifadəsini və proses səmərəliliyini davamlı optimallaşdırmaq,1 IT & Digital – FMCG (Functional),1.4 ERP Functional Excellence,1.4.5 Continuously optimize ERP usage and process efficiency
94,ERP,21,1.5.1,1 İT və Rəqəmsal – FMCG (Funksional),1.5 Master Data İdarəetməsi (MDM),"1.5.1 Müştəri, məhsul, təchizatçı və qiymət məlumatları üzrə idarəetmə çərçivəsini müəyyən etmək",1 IT & Digital – FMCG (Functional),1.5 Master Data Management (MDM),"1.5.1 Define governance for customer, product, vendor, and pricing data"
95,ERP,22,1.5.2,1 İT və Rəqəmsal – FMCG (Funksional),1.5 Master Data İdarəetməsi (MDM),"1.5.2 Məlumatların dəqiqliyini, məsul sahibliyini və həyat dövrü nəzarətlərini təmin etmək",1 IT & Digital – FMCG (Functional),1.5 Master Data Management (MDM),"1.5.2 Ensure data accuracy, ownership, and lifecycle controls"
96,ERP,23,1.5.3,1 İT və Rəqəmsal – FMCG (Funksional),1.5 Master Data İdarəetməsi (MDM),1.5.3 Master data-nı ERP və əlaqəli sistemlər arasında inteqrasiya etmək,1 IT & Digital – FMCG (Functional),1.5 Master Data Management (MDM),1.5.3 Integrate master data across ERP and peripheral systems
97,ERP,24,1.5.4,1 İT və Rəqəmsal – FMCG (Funksional),1.5 Master Data İdarəetməsi (MDM),"1.5.4 Məlumat təkrarlanmasının, sızmaların və uyğunsuzluqların qarşısını almaq",1 IT & Digital – FMCG (Functional),1.5 Master Data Management (MDM),"1.5.4 Prevent data duplication, leakage, and inconsistency"
